NSR_organism	NSR_ID	BOLD_organism	BOLD_ID
Fusarium inflexum	FHCYFAZHIJU	Fusarium inflexum	CTFUN022-14
Fusarium incarnatum	FHCYFAZHHWA	Fusarium incarnatum	GBFSB2329-24
Fusarium graminearum	FHCYFAZHFSJ	Fusarium graminearum	GBHYP099-13
Fusarium equiseti	FHCYFAZHBLB	Fusarium equiseti	GBFSD49024-24
Fusarium dimerum	FHCYFAZHAJA	Fusarium dimerum	DBOF029-12
Fusarium dimerum	FHCYFAZGZVF	Fusarium dimerum	DBOF029-12
Fusarium culmorum	FHCYFAZGYFJ	Fusarium culmorum	FUSAR131-11
Fusarium commune	FHCYFAZGVAD	Fusarium commune	GBFSB15080-24
Fusarium coeruleum	FHCYFAZGUMI	Fusarium coeruleum	GBHYP9597-13
Fusarium cerealis	FHCYFAZGTYC	Fusarium cerealis	GBHYP2325-13
Fusarium begoniae	FHCYFAZGOBK	Fusarium begoniae	GBHYP9009-13
Fusarium avenaceum	FHCYFAZGNNE	Fusarium avenaceum	CEFI006-09
Fusarium avenaceum	FHCYFAZGMLO	Fusarium avenaceum	CEFI006-09
Fusarium acuminatum	FHCYFAZGHJI	Fusarium acuminatum	GBFSD47960-24
Phellinus igniarius	FHCYFAZDYJG	Phellinus igniarius	GBSO14223-15
Fomes fomentarius	FHCYFAZDRYI	Fomes fomentarius	FABOL361-21
Fomitopsis pinicola	FHCYFAZCNLM	Fomitopsis pinicola	ANTIC044-20
Fonsecaea pedrosoi	FHCYFAZCHAO	Fonsecaea pedrosoi	GBFSD49240-24
Fonsecaea compacta	FHCYFAZCFKS	Fonsecaea compacta	GBSO1153-13
Antrodiella onychoides	FHCYFAZBSIE	Antrodiella onychoides	GBPOL2768-15
Flammulina velutipes	FHCYFAZBNFY	Flammulina velutipes	GBAGA10247-14
Flammulina velutipes	FHCYFAZBMSE	Flammulina velutipes	GBAGA10247-14
Flammulina velutipes	FHCYFAZBMLA	Flammulina velutipes	GBAGA10247-14
Flammulina velutipes	FHCYFAZBLXG	Flammulina velutipes	GBAGA10247-14
Flammulina velutipes	FHCYFAZBKON	Flammulina velutipes	GBAGA10247-14
Flammulina fennae	FHCYFAZBJTP	Flammulina fennae	GBAGA10249-14
Flagelloscypha minutissima	FHCYFAZBGNX	Flagelloscypha minutissima	GBAGA12623-15
Flammulaster limulatus	FHCYFAZBCNT	Flammulaster limulatus	NOBAS2401-16
Flammulaster carpophilus	FHCYFAZAZBJ	Flammulaster carpophilus	KFNGI636-19
Flammulaster carpophilus	FHCYFAZAYNO	Flammulaster carpophilus	KFNGI636-19
Flammulaster carpophilus	FHCYFAZAXZI	Flammulaster carpophilus	KFNGI636-19
Flammulaster carpophilus	FHCYFAZAXEK	Flammulaster carpophilus	KFNGI636-19
Pseudombrophila theioleuca	FHCYFAZAJGY	Pseudombrophila theioleuca	NOBAS3914-17
Pseudombrophila cervaria	FHCYFAZAFNL	Pseudombrophila cervaria	NOBAS3942-17
Fibroporia vaillantii	FHCYFAZACWA	Fibroporia vaillantii	GBPOL1218-13
Fistulina hepatica	FHCYFAZAALG	Fistulina hepatica	GBAGA696-13
Filobasidium uniguttulatum	FHCYFAYZXMR	Filobasidium uniguttulatum	DBMY063-20
Ditiola peziziformis	FHCYFAYZKDA	Ditiola peziziformis	KFNGI507-19
Favolus tenuiculus	FHCYFAYYVDM	Favolus tenuiculus	SABIO606-19
Faerberia carbonaria	FHCYFAYYPGJ	Faerberia carbonaria	KFNGI288-19
Exobasidium vaccinii	FHCYFAYXVLT	Exobasidium vaccinii	GBSO12270-14
Exobasidium rhododendri	FHCYFAYXUDA	Exobasidium rhododendri	GBSO2601-13
Exobasidium japonicum	FHCYFAYXRSG	Exobasidium japonicum	GBSO12230-14
Sebacina grisea	FHCYFAYXOUD	Sebacina grisea	GBSO046-13
Exidiopsis calcea	FHCYFAYXNEH	Exidiopsis calcea	NOBAS10720-23
Exidia truncata	FHCYFAYXLVO	Exidia truncata	GBSO13468-15
Exidia glandulosa	FHCYFAYXGMG	Exidia glandulosa	GBFSB14057-24
Exserohilum turcicum	FHCYFAYXCZW	Exserohilum turcicum	GBFSD49862-24
Exserohilum rostratum	FHCYFAYXCMB	Exserohilum rostratum	GBFSB2324-24
Exophiala salmonis	FHCYFAYWXCT	Exophiala salmonis	GBSO13604-15
Exophiala pisciphila	FHCYFAYWWOY	Exophiala pisciphila	GBFSB10297-24
Exophiala oligosperma	FHCYFAYWWBD	Exophiala oligosperma	GBSO1448-13
Exophiala mesophila	FHCYFAYWVNI	Exophiala mesophila	GBFSD51826-24
Exophiala lecanii-corni	FHCYFAYWULH	Exophiala lecanii-corni	GBFSB18946-24
Exophiala jeanselmei	FHCYFAYWSVL	Exophiala jeanselmei	GBF179-08
Exophiala dermatitidis	FHCYFAYWSHQ	Exophiala dermatitidis	GBSO10104-13
Exophiala castellanii	FHCYFAYWRTW	Exophiala castellanii	GBSO6442-13
Exophiala bergeri	FHCYFAYWQRU	Exophiala bergeri	GBSO10109-13
Exophiala angulospora	FHCYFAYWQEA	Exophiala angulospora	GBFSB19872-24
Eurotium halophilicum	FHCYFAYWEDB	Eurotium halophilicum	GBEUR1559-13
Eurotium echinulatum	FHCYFAYWDBA	Eurotium echinulatum	GBEUR1586-13
Eurotium amstelodami	FHCYFAYWBZK	Eurotium amstelodami	GBEUR1302-13
Eupenicillium pinetorum	FHCYFAYWAJO	Eupenicillium pinetorum	GBEUR5027-13
Eupenicillium osmophilum	FHCYFAYVZVU	Eupenicillium osmophilum	GBEUR1850-13
Eupenicillium crustaceum	FHCYFAYVWXF	Eupenicillium crustaceum	GBEUR2915-13
Eupenicillium baarnense	FHCYFAYVVOM	Eupenicillium baarnense	GBEUR2916-13
Eudarluca caricis	FHCYFAYVUML	Eudarluca caricis	GBPLE195-13
Peroneutypa scoparia	FHCYFAYVSIU	Peroneutypa scoparia	GBFSB232-24
Eutypa tetragona	FHCYFAYVNUV	Eutypa tetragona	GBXYL998-13
Eutypa spinosa	FHCYFAYVMMC	Eutypa spinosa	GBXYL1280-13
Eutypa maura	FHCYFAYVKPD	Eutypa maura	GBXYL2139-15
Eutypa lata	FHCYFAYVJGK	Eutypa lata	GBXYL019-13
Erythricium laetum	FHCYFAYUUAF	Erythricium laetum	FABOL392-21
Eriopezia caesia	FHCYFAYURWP	Eriopezia caesia	KFNGI363-19
Erysiphe urticae	FHCYFAYUPZP	Erysiphe urticae	GBERY058-13
Erysiphe trifolii	FHCYFAYUNVZ	Erysiphe trifolii	GBERY059-13
Erysiphe polygoni	FHCYFAYULEN	Erysiphe polygoni	GBERY054-13
Erysiphe pisi	FHCYFAYUKJP	Erysiphe pisi	GBERY061-13
Erysiphe heraclei	FHCYFAYUBNX	Erysiphe heraclei	GBERY052-13
Neoerysiphe galii	FHCYFAYUAFE	Neoerysiphe galii	GBERY057-13
Neoerysiphe galeopsidis	FHCYFAYTZKG	Neoerysiphe galeopsidis	GBERY204-13
Golovinomyces fischeri	FHCYFAYTYBN	Golovinomyces fischeri	GBERY1150-14
Golovinomyces cynoglossi	FHCYFAYTWSV	Golovinomyces cynoglossi	GBERY020-13
Erysiphe cruciferarum	FHCYFAYTVXX	Erysiphe cruciferarum	GBERY1072-13
Erysiphe convolvuli	FHCYFAYTVCZ	Erysiphe convolvuli	GBERY062-13
Erysiphe circaeae	FHCYFAYTPMY	Erysiphe circaeae	GBERY063-13
Golovinomyces cichoracearum	FHCYFAYTOSA	Golovinomyces cichoracearum	GBERY007-13
Golovinomyces biocellatus	FHCYFAYTNXO	Golovinomyces biocellatus	GBERY1013-13
Erysiphe aquilegiae	FHCYFAYTLMU	Erysiphe aquilegiae	GBERY044-13
Erysiphe aquilegiae	FHCYFAYTKRW	Erysiphe aquilegiae	GBERY044-13
Eremothecium coryli	FHCYFAYTJCA	Eremothecium coryli	GBSAC059-13
Epithele typhae	FHCYFAYTBBR	Epithele typhae	GBRUS557-13
Episphaeria fraxinicola	FHCYFAYSZSN	Episphaeria fraxinicola	NOBAS4358-17
Epidermophyton floccosum	FHCYFAYSQXG	Epidermophyton floccosum	GBFBA008-05
Epidermophyton floccosum	FHCYFAYSQJM	Epidermophyton floccosum	GBFBA008-05
Epidermophyton floccosum	FHCYFAYSPVF	Epidermophyton floccosum	GBFBA008-05
Epicoccum nigrum	FHCYFAYSMPZ	Epicoccum nigrum	GBF058-08
Encoelia furfuracea	FHCYFAYRZMZ	Encoelia furfuracea	KFNGI364-19
Entyloma ranunculi	FHCYFAYREJR	Entyloma ranunculi	GBSO13988-15
Entyloma microsporum	FHCYFAYRCTV	Entyloma microsporum	GBSO13987-15
Entyloma ficariae	FHCYFAYQXYS	Entyloma ficariae	GBSO13984-15
Entyloma calendulae	FHCYFAYQVNZ	Entyloma calendulae	GBSO2687-13
Entoloma vinaceum	FHCYFAYQNNE	Entoloma vinaceum	NOBAS1667-15
Entoloma vinaceum	FHCYFAYQMSS	Entoloma vinaceum	NOBAS1667-15
Entoloma vinaceum	FHCYFAYQLXU	Entoloma vinaceum	NOBAS1667-15
Entoloma turbidum	FHCYFAYQDXA	Entoloma turbidum	FABOL233-21
Entoloma turbidum	FHCYFAYQDCC	Entoloma turbidum	FABOL233-21
Entoloma sordidulum	FHCYFAYPTLX	Entoloma sordidulum	NOBAS928-15
Entoloma sericeum	FHCYFAYPPLH	Entoloma sericeum	CHIBO062-20
Entoloma sericeum	FHCYFAYPOQJ	Entoloma sericeum	CHIBO062-20
Entoloma sericeum	FHCYFAYPNVL	Entoloma sericeum	CHIBO062-20
Entoloma sericatum	FHCYFAYPKQF	Entoloma sericatum	FABOL324-21
Entoloma sericatum	FHCYFAYPJAJ	Entoloma sericatum	FABOL324-21
Entoloma sericatum	FHCYFAYPITR	Entoloma sericatum	FABOL324-21
Entoloma scabiosum	FHCYFAYPGIX	Entoloma scabiosum	NOBAS2265-16
Entoloma saundersii	FHCYFAYPFNZ	Entoloma saundersii	GBAGA11915-15
Entoloma rhombisporum	FHCYFAYPBNV	Entoloma rhombisporum	NOBAS1284-15
Entoloma rhombisporum	FHCYFAYPASX	Entoloma rhombisporum	NOBAS1284-15
Entoloma rhodopolium	FHCYFAYOZDB	Entoloma rhodopolium	ANTIC045-20
Entoloma rhodopolium	FHCYFAYOXUI	Entoloma rhodopolium	ANTIC045-20
Entoloma rhodopolium	FHCYFAYOXNF	Entoloma rhodopolium	ANTIC045-20
Entoloma politum	FHCYFAYOLMH	Entoloma politum	NOBAS2127-16
Entoloma politum	FHCYFAYOKRJ	Entoloma politum	NOBAS2127-16
Entoloma poliopus	FHCYFAYOJPT	Entoloma poliopus	CAFUN011-17
Entoloma poliopus	FHCYFAYOIUV	Entoloma poliopus	CAFUN011-17
Entoloma poliopus	FHCYFAYOHZX	Entoloma poliopus	CAFUN011-17
Entoloma pleopodium	FHCYFAYOGKB	Entoloma pleopodium	GBAGA11904-15
Entoloma pleopodium	FHCYFAYOFBI	Entoloma pleopodium	GBAGA11904-15
Entoloma pleopodium	FHCYFAYOEUR	Entoloma pleopodium	GBAGA11904-15
Entoloma percandidum	FHCYFAYOBHW	Entoloma percandidum	CAFUN062-17
Entoloma ollare	FHCYFAYNVRV	Entoloma ollare	NOBAS2973-16
Entoloma minutum	FHCYFAYNMBR	Entoloma minutum	NOBAS1375-15
Entoloma longistriatum	FHCYFAYNJQX	Entoloma longistriatum	NOBAS5168-18
Entoloma longistriatum	FHCYFAYNIVZ	Entoloma longistriatum	NOBAS5168-18
Entoloma longistriatum	FHCYFAYNIBB	Entoloma longistriatum	NOBAS5168-18
Entoloma longistriatum	FHCYFAYNHGO	Entoloma longistriatum	NOBAS5168-18
Entoloma juncinum	FHCYFAYMYYR	Entoloma juncinum	GBAGA11881-15
Entoloma infula	FHCYFAYMVTL	Entoloma infula	CAFUN070-17
Entoloma infula	FHCYFAYMUYN	Entoloma infula	CAFUN070-17
Entoloma incarnatofuscescens	FHCYFAYMTBN	Entoloma incarnatofuscescens	NOBAS5158-18
Entoloma hebes	FHCYFAYMNZT	Entoloma hebes	FABOL059-21
Entoloma fernandae	FHCYFAYMFYZ	Entoloma fernandae	BFSEG119-23
Entoloma fernandae	FHCYFAYMFEB	Entoloma fernandae	BFSEG119-23
Entoloma fernandae	FHCYFAYMEJD	Entoloma fernandae	BFSEG119-23
Entoloma conferendum	FHCYFAYLOAX	Entoloma conferendum	FABOL268-21
Entoloma conferendum	FHCYFAYLMLB	Entoloma conferendum	FABOL268-21
Entoloma conferendum	FHCYFAYLKVF	Entoloma conferendum	FABOL268-21
Entoloma clypeatum	FHCYFAYLIDU	Entoloma clypeatum	FABOL070-21
Entoloma clypeatum	FHCYFAYLHIW	Entoloma clypeatum	FABOL070-21
Entoloma clypeatum	FHCYFAYLGAD	Entoloma clypeatum	FABOL070-21
Entoloma clypeatum	FHCYFAYLFFF	Entoloma clypeatum	FABOL070-21
Entoloma clypeatum	FHCYFAYLEKH	Entoloma clypeatum	FABOL070-21
Entoloma clypeatum	FHCYFAYLDPV	Entoloma clypeatum	FABOL070-21
Entoloma clypeatum	FHCYFAYLDIR	Entoloma clypeatum	FABOL070-21
Entoloma bisporigerum	FHCYFAYKSCR	Entoloma bisporigerum	NOBAS5338-18
Entoloma aethiops	FHCYFAYKHYG	Entoloma aethiops	NOBAS5151-18
Glomus macrocarpum	FHCYFAYJORL	Glomus macrocarpum	GBGLM1633-13
Endogone lactiflua	FHCYFAYJODQ	Endogone lactiflua	GBSO1683-13
Engyodontium album	FHCYFAYJCJJ	Engyodontium album	GBHYP9889-15
Emericellopsis terricola	FHCYFAYIMWB	Emericellopsis terricola	GBHYP3250-13
Emericellopsis robusta	FHCYFAYIMIG	Emericellopsis robusta	GBHYP677-13
Emericellopsis glabra	FHCYFAYILUA	Emericellopsis glabra	GBHYP684-13
Eleutheromyces subulatus	FHCYFAYHUKE	Eleutheromyces subulatus	GBF218-08
Eichleriella deglubens	FHCYFAYHLOM	Eichleriella deglubens	KFNGI124-19
Efibulobasidium albescens	FHCYFAYHEBY	Efibulobasidium albescens	GBSO14896-15
Drechslera siccans	FHCYFAYEZQG	Drechslera siccans	GBPLE3487-13
Drechslera poae	FHCYFAYEYVI	Drechslera poae	GBPLE3880-13
Drechslera phlei	FHCYFAYEYAK	Drechslera phlei	GBPLE3484-13
Drechslera erythrospila	FHCYFAYEVPQ	Drechslera erythrospila	GBPLE1249-13
Drechslera biseptata	FHCYFAYESRN	Drechslera biseptata	GBPLE2884-13
Dothidea sambuci	FHCYFAYEDDU	Dothidea sambuci	GBSO13951-15
Doratomyces stemonitis	FHCYFAYDCKL	Doratomyces stemonitis	GBSO1221-13
Doratomyces putredinis	FHCYFAYDBWQ	Doratomyces putredinis	GBF110-08
Doratomyces purpureofuscus	FHCYFAYDBIK	Doratomyces purpureofuscus	GBSO5659-13
Doratomyces nanus	FHCYFAYDAUP	Doratomyces nanus	GBSO5651-13
Doratomyces microsporus	FHCYFAYDAGU	Doratomyces microsporus	GBSO5657-13
Diaporthe woodii	FHCYFAYCSND	Diaporthe woodii	GBDIA1806-13
Diaporthe scobina	FHCYFAYCFDA	Diaporthe scobina	GBDIA1855-13
Diaporthe pustulata	FHCYFAYBXJJ	Diaporthe pustulata	GBDIA1863-13
Diaporthe oncostoma	FHCYFAYBQKQ	Diaporthe oncostoma	GBDIA1887-13
Diaporthe fibrosa	FHCYFAYAWCG	Diaporthe fibrosa	GBDIA1950-13
Diaporthe eres	FHCYFAYATKI	Diaporthe eres	GBDIA1213-13
Diaporthe detrusa	FHCYFAYASBQ	Diaporthe detrusa	GBDIA1987-13
Diaporthe crataegi	FHCYFAYANNR	Diaporthe crataegi	GBDIA1995-13
Diaporthe citri	FHCYFAYAKPC	Diaporthe citri	GBDIA1997-13
Diaporthe beckhausii	FHCYFAYAEKV	Diaporthe beckhausii	GBDIA2009-13
Diaporthe ambigua	FHCYFAYAARU	Diaporthe ambigua	GBDIA001-13
Dichotomomyces cejpii	FHCYFAXZWYH	Dichotomomyces cejpii	GBEUR1143-13
Dichotomomyces cejpii	FHCYFAXZWDJ	Dichotomomyces cejpii	GBEUR1143-13
Ditopella ditopa	FHCYFAXZFAF	Ditopella ditopa	GBDIA507-13
Dicarpella dryina	FHCYFAXZDRM	Dicarpella dryina	GBDIA1720-13
Didymosphaeria futilis	FHCYFAXYKKS	Didymosphaeria futilis	GBPLE1250-13
Diatrypella pulvinata	FHCYFAXWFRX	Diatrypella pulvinata	GBXYL1624-13
Diatrypella favacea	FHCYFAXWEJE	Diatrypella favacea	GBXYL2132-15
Diatrype stigma	FHCYFAXWBRS	Diatrype stigma	GBFSD49898-24
Diatrype disciformis	FHCYFAXVZAH	Diatrype disciformis	GBXYL2126-15
Discohainesia oenotherae	FHCYFAXVUET	Discohainesia oenotherae	GBF194-08
Diplocarpon rosae	FHCYFAXVSPJ	Diplocarpon rosae	GBHEL1793-14
Diplocarpon mespili	FHCYFAXVSBC	Diplocarpon mespili	GBHEL1887-15
Discostroma tostum	FHCYFAXVNTV	Discostroma tostum	GBXYL1399-13
Dissoconium aciculare	FHCYFAXVKAU	Dissoconium aciculare	GBCAP200-13
Discula quercina	FHCYFAXVFFF	Discula quercina	GBDIA415-13
Discula betulina	FHCYFAXVAKD	Discula betulina	GBDIA491-13
Discosia artocreas	FHCYFAXUVPB	Discosia artocreas	GBF135-08
Diplodina microsperma	FHCYFAXTVXI	Diplodina microsperma	GBDIA1138-13
Diplodia seriata	FHCYFAXTFHZ	Diplodia seriata	GBBOT099-13
Diplodia ramulicola	FHCYFAXSYCC	Diplodia ramulicola	GBBOT2110-13
Diplodia mutila	FHCYFAXSSMC	Diplodia mutila	GBBOT032-13
Diplodia mori	FHCYFAXSRYH	Acheilognathus yamatsutae	ANGBF1369-12
Dinemasporium strigosum	FHCYFAXRUDC	Dinemasporium strigosum	GBSO9823-13
Diehliomyces microsporus	FHCYFAXRNLM	Diehliomyces microsporus	GBUN2954-13
Didymella urticicola	FHCYFAXRICD	Didymella urticicola	GBPLE2038-13
Didymella macropodii	FHCYFAXRBDK	Didymella macropodii	GBPLE2033-13
Didymella ligulicola	FHCYFAXRABJ	Didymella ligulicola	GBPLE019-13
Didymella ligulicola	FHCYFAXQZNO	Didymella ligulicola	GBPLE019-13
Didymella exigua	FHCYFAXQXXS	Didymella exigua	GBPLE2154-13
Didymella applanata	FHCYFAXQUER	Didymella applanata	GBPLE047-13
Dicyma ampullifera	FHCYFAXQPJD	Dicyma ampullifera	GBF207-08
Dictyosporium toruloides	FHCYFAXQOHO	Dictyosporium toruloides	GBPLE492-13
Dictyosporium elegans	FHCYFAXQNFM	Dictyosporium elegans	GBPLE497-13
Dictyochaeta simplex	FHCYFAXQMDX	Dictyochaeta simplex	GBSO13532-15
Dictyochaeta fertilis	FHCYFAXQLBW	Dictyochaeta fertilis	GBF223-08
Dermoloma josserandii	FHCYFAXPROJ	Dermoloma josserandii	NOBAS2937-16
Dermoloma josserandii	FHCYFAXPQTL	Dermoloma josserandii	NOBAS2937-16
Dermoloma cuneifolium	FHCYFAXPPKS	Dermoloma cuneifolium	KFNGI314-19
Dermoloma cuneifolium	FHCYFAXPOPU	Dermoloma cuneifolium	KFNGI314-19
Dekkera bruxellensis	FHCYFAXPBGD	Dekkera bruxellensis	GBSAC1259-13
Dekkera anomala	FHCYFAXPALF	Dekkera anomala	GBSAC3016-15
Debaryomyces hansenii	FHCYFAXOBAE	Debaryomyces hansenii	DBMY693-20
Debaryomyces hansenii	FHCYFAXOAMJ	Debaryomyces hansenii	DBMY693-20
Debaryomyces hansenii	FHCYFAXNZYO	Debaryomyces hansenii	DBMY693-20
Dennisiodiscus prasinus	FHCYFAXNHTJ	Dennisiodiscus prasinus	KFNGI510-19
Desmazierella acicola	FHCYFAXNANY	Desmazierella acicola	GBPEZ2578-15
Dendryphiopsis atra	FHCYFAXMSNE	Dendryphiopsis atra	GBF095-08
Dendryphion penicillatum	FHCYFAXMRLD	Dendryphion penicillatum	GBUN292-13
Dendryphion penicillatum	FHCYFAXMQXI	Dendryphion penicillatum	GBUN292-13
Dendryphion nanum	FHCYFAXMQJN	Dendryphion nanum	GBUN1987-13
Dendryphion comosum	FHCYFAXMOFW	Dendryphion comosum	GBF213-08
Datronia mollis	FHCYFAXLIYD	Datronia mollis	GBPOL102-13
Lachnellula willkommii	FHCYFAXKVOA	Lachnellula willkommii	GBHEL1710-13
Daedalea quercina	FHCYFAXJTLZ	Daedalea quercina	GBPOL1306-13
Dacrymyces stillatus	FHCYFAXIHME	Dacrymyces stillatus	GBFSD51294-24
Dactylella rhopalota	FHCYFAXHYCR	Dactylella rhopalota	GBHEL494-13
Dactylella oxyspora	FHCYFAXHWMV	Dactylella oxyspora	GBHEL512-13
Cystoderma jasonis	FHCYFAXGZTQ	Cystoderma jasonis	NAMPB071-20
Cystoderma jasonis	FHCYFAXGYYS	Cystoderma jasonis	NAMPB071-20
Cystoderma jasonis	FHCYFAXGXQA	Cystoderma jasonis	NAMPB071-20
Cystoderma amianthinum	FHCYFAXGUYO	Cystoderma amianthinum	ANTIC007-20
Cystoderma amianthinum	FHCYFAXGUDQ	Cystoderma amianthinum	ANTIC007-20
Cystoderma amianthinum	FHCYFAXGTIS	Cystoderma amianthinum	ANTIC007-20
Cyathus striatus	FHCYFAXGPWI	Cyathus striatus	GBAGA10772-15
Cyathus olla	FHCYFAXGOGN	Cyathus olla	GBAGA10770-15
Cylindrobasidium laeve	FHCYFAXGLIJ	Cylindrobasidium laeve	GBSO11551-13
Merismodes anomala	FHCYFAXGJLK	Merismodes anomala	NOBAS5633-18
Crocicreas tomentosum	FHCYFAXGHHT	Crocicreas tomentosum	GBHEL809-13
Crocicreas pallidum	FHCYFAXGECN	Crocicreas pallidum	GBHEL808-13
Crocicreas cyathoideum	FHCYFAXGAWV	Crocicreas cyathoideum	GBHEL818-13
Crocicreas coronatum	FHCYFAXGABX	Crocicreas coronatum	GBHEL1804-14
Crocicreas cyathoideum	FHCYFAXFZGZ	Crocicreas cyathoideum	GBHEL818-13
Cystolepiota seminuda	FHCYFAXFEDR	Cystolepiota seminuda	FABOL281-21
Cystolepiota hetieri	FHCYFAXFBSX	Cystolepiota hetieri	FABOL247-21
Cystolepiota adulterina	FHCYFAXEZPG	Cystolepiota adulterina	GBAGA10788-15
Cytospora ribis	FHCYFAXEIFK	Cytospora ribis	GBDIA520-13
Cytospora rhodophila	FHCYFAXEHDJ	Cytospora rhodophila	GBDIA521-13
Cytospora pruinosa	FHCYFAXEGBU	Cytospora pruinosa	GBDIA701-13
Cytospora intermedia	FHCYFAXDWZK	Cytospora intermedia	GBDIA715-13
Cytospora hariotii	FHCYFAXDTTS	Cytospora hariotii	GBDIA523-13
Cytospora cincta	FHCYFAXDJIP	Cytospora cincta	GBDIA462-13
Cytospora chrysosperma	FHCYFAXDIUJ	Cytospora chrysosperma	GBDIA1681-13
Cytospora carbonacea	FHCYFAXDHEZ	Cytospora carbonacea	GBDIA525-13
Cytospora acaciae	FHCYFAXDFBI	Cytospora acaciae	GBDIA526-13
Cyphellophora pluriseptata	FHCYFAXCYJG	Cyphellophora pluriseptata	GBSO11091-13
Cyphellophora laciniata	FHCYFAXCXVL	Cyphellophora laciniata	GBSO3457-13
Cylindrodendrum album	FHCYFAXCIID	Cylindrodendrum album	GBUN4883-13
Cylindrocladiella parva	FHCYFAXBXPY	Cylindrocladiella parva	GBHYP3745-13
Cylindrocladiella camelliae	FHCYFAXBVSY	Cylindrocladiella camelliae	GBF191-08
Cylindrocarpon olidum	FHCYFAXBRLR	Cylindrocarpon olidum	GBHYP1146-13
Cylindrocarpon olidum	FHCYFAXBQXW	Cylindrocarpon olidum	GBHYP1146-13
Cylindrocarpon obtusisporum	FHCYFAXBQKB	Cylindrocarpon obtusisporum	GBHYP1147-13
Cylindrocarpon didymum	FHCYFAXBKMY	Cylindrocarpon didymum	CEFI004-09
Cylindrocarpon cylindroides	FHCYFAXBIJH	Cylindrocarpon cylindroides	GBHYP1177-13
Cylindrocarpon cylindroides	FHCYFAXBHVM	Cylindrocarpon cylindroides	GBHYP1177-13
Cylindrocarpon cylindroides	FHCYFAXBHHG	Cylindrocarpon cylindroides	GBHYP1177-13
Cylindrium elongatum	FHCYFAXBAIN	Cylindrium elongatum	GBF169-08
Cylindrium aeruginosum	FHCYFAXAYLZ	Cylindrium aeruginosum	NOBAS3931-17
Cumminsiella mirabilissima	FHCYFAXAPQH	Cumminsiella mirabilissima	CUITS001-08
Cudoniella clavus	FHCYFAXAMRS	Cudoniella clavus	GBHEL1547-13
Cudoniella clavus	FHCYFAXAMDY	Cudoniella clavus	GBHEL1547-13
Cudoniella clavus	FHCYFAXALJA	Cudoniella clavus	GBHEL1547-13
Cudoniella acicularis	FHCYFAXAKOC	Cudoniella acicularis	GBHEL656-13
Cucurbitaria berberidis	FHCYFAXAAXX	Cucurbitaria berberidis	GBPLE3679-13
Curvularia trifolii	FHCYFAWZYUG	Curvularia trifolii	GBPLE1816-13
Curvularia trifolii	FHCYFAWZYGL	Curvularia trifolii	GBPLE1816-13
Curvularia cymbopogonis	FHCYFAWZXSF	Curvularia cymbopogonis	GBPLE1922-13
Cryptosporella hypodermia	FHCYFAWZISS	Cryptosporella hypodermia	GBDIA2370-15
Cryptodiaporthe pulchella	FHCYFAWZBTZ	Cryptodiaporthe pulchella	GBDIA1099-13
Cryptodiaporthe populea	FHCYFAWZBGE	Cryptodiaporthe populea	GBDIA1089-13
Crinipellis scabella	FHCYFAWYXTU	Crinipellis scabella	GBAGA12435-15
Cryptodiscus rhopaloides	FHCYFAWYWRT	Cryptodiscus rhopaloides	GBSO4933-13
Hypocrea gelatinosa	FHCYFAWYETR	Hypocrea gelatinosa	GBHYP607-13
Craterocolla cerasi	FHCYFAWXKZB	Craterocolla cerasi	GBSO14895-15
Cronartium ribicola	FHCYFAWXGKR	Cronartium ribicola	CRITS038-09
Cronartium flaccidum	FHCYFAWXFBY	Cronartium flaccidum	CRITS015-08
Crepidotus variabilis	FHCYFAWWMQB	Crepidotus variabilis	GBAGA12105-15
Crepidotus subverrucisporus	FHCYFAWWLVD	Crepidotus subverrucisporus	FABOL071-21
Crepidotus mollis	FHCYFAWWKMK	Crepidotus mollis	GBAGA2676-13
Crepidotus epibryus	FHCYFAWWICC	Crepidotus epibryus	GBAGA6250-13
Crepidotus cesatii	FHCYFAWWHNW	Crepidotus cesatii	NOBAS1242-15
Crepidotus cesatii	FHCYFAWWHAB	Crepidotus cesatii	NOBAS1242-15
Crepidotus cesatii	FHCYFAWWGFD	Crepidotus cesatii	NOBAS1242-15
Crepidotus autochthonus	FHCYFAWWFKF	Crepidotus autochthonus	GBAGA12101-15
Crepidotus applanatus	FHCYFAWWEWK	Crepidotus applanatus	FABOL420-21
Crepidotus applanatus	FHCYFAWWEIP	Crepidotus applanatus	FABOL420-21
Cryptendoxyla hypophloia	FHCYFAWWCLQ	Cryptendoxyla hypophloia	GBSO15286-15
Cristinia helvetica	FHCYFAWVUZC	Cristinia helvetica	GBRUS3387-15
Cryptosporiopsis rhizophila	FHCYFAWVJLY	Cryptosporiopsis rhizophila	GBHEL006-13
Cryptococcus wieringae	FHCYFAWVBEN	Cryptococcus wieringae	GBTRE007-13
Cryptococcus terricola	FHCYFAWUZAW	Cryptococcus terricola	GBTRE034-13
Cryptococcus neoformans	FHCYFAWUQMH	Cryptococcus neoformans	GBTRE1010-13
Cryptococcus magnus	FHCYFAWUNUK	Cryptococcus magnus	DBMY206-20
Cryptococcus magnus	FHCYFAWUNGP	Cryptococcus magnus	DBMY206-20
Cryptococcus laurentii	FHCYFAWUKBJ	Cryptococcus laurentii	GBTRE150-13
